French,Español
partie,parte
histoire,historia
chercher,buscar
seulement,solamente
police,policía
pensais,pensamiento
aide,Ayuda
demande,demanda
genre,tipo
mois,mes
frère,hermano
laisser,dejar
car,porque
mettre,poner
aucun,ninguna
laisse,dejar solo
eux,ellos
ville,pueblo
chaque,cada
parler,hablar
arriver,llegar
devrait,deberían
bébé,Bebé
longtemps,mucho tiempo
heures,hora
vont,van
pendant,durante
revoir,reunirse de nuevo
aucune,ninguna
place,cuadrado
parle,hablar
compris,entendido
savais,supo
étaient,fueron
attention,atención
voici,aquí está
pourrais,pudo
affaire,caso
donner,dar
type,escribe
leurs,sus
étant donné,puesto que
train,entrenar
corps,cuerpo
endroit,lugar
yeux,ojos
façon,manera
Ecoutez,Escucha
dont,cuyo
trouve,encontrar
premier,primero
perdu,perdió
main,mano
première,primero
côté,lado
pouvoir,poder
vieux,viejo
sois,ser
tiens,llevar
matin,Mañana
tellement,tal
enfant,niño
point,punto
venu,llegó
suite,continuado
pardon,lo siento
venez,venir
devant,delante
vers,hacia
minutes,minutos
demande,demanda
chambre,habitación
mis,poner
belle,precioso
droit,correcto
aimerais,gustaria
aujourd'hui,hoy dia
mari,esposo
cause,porque
enfin,finalmente
espérer,a la esperanza
eau,agua
attendez,Espere
parti,izquierda
nouvelle,nueva
boulot,Curro
Arrêter,Parar
dirait,diría
terre,tierra
compte,cuenta
donne,dado
loin,lejos
fin,final
croire,creer
amoureuse,amor
gros,grueso
plutôt,bastante
aura,tendrá
filles,muchachas
jouer,jugador
bureau,despacho
